mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_actual_estimator__class_weight,param_actual_estimator__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.04697449207305908,0.017187490733155987,0.0022032499313354493,0.0017118136443178954,{},7.689,"{'actual_estimator__class_weight': {}, 'actual_estimator__C': 7.689}",0.0,0.0,0.026845637583892617,0.013793103448275862,0.0136986301369863,0.0,0.0,0.01360544217687075,0.013793103448275862,0.0,0.00817359167943014,0.008977038363474969,3
0.053618574142456056,0.011896641205552425,0.003797173500061035,0.00040273478731919185,balanced,8.866,"{'actual_estimator__class_weight': 'balanced', 'actual_estimator__C': 8.866}",0.46875,0.44067796610169496,0.42245989304812837,0.44686648501362397,0.4198895027624309,0.45901639344262296,0.4169014084507042,0.49056603773584906,0.47184986595174266,0.4736842105263158,0.4510661763033113,0.024418820506112368,1
0.04953303337097168,0.008258306446746766,0.0025988340377807615,0.0012730517686920897,{},7.863,"{'actual_estimator__class_weight': {}, 'actual_estimator__C': 7.863}",0.0,0.0,0.026845637583892617,0.013793103448275862,0.0136986301369863,0.0,0.0,0.01360544217687075,0.013793103448275862,0.0,0.00817359167943014,0.008977038363474969,3
0.04785730838775635,0.007410396263766147,0.0021853923797607424,0.0031701354424059657,balanced,9.984,"{'actual_estimator__class_weight': 'balanced', 'actual_estimator__C': 9.984}",0.46875,0.44067796610169496,0.42245989304812837,0.44686648501362397,0.4198895027624309,0.45901639344262296,0.4169014084507042,0.49056603773584906,0.47184986595174266,0.4736842105263158,0.4510661763033113,0.024418820506112368,1
